ts,text,sentiment,urgency,aspects
2025-08-15T07:18:35.327693Z,"Well, this headset looks just like the existing one that I have, in person and in the photo. But it doesn't work. At all! Terrible echoes, had to stop talking. Tried it multiple times. Its just a piece of junk! Too angry to bother sending it back. Sara",negative,low,
2025-08-15T07:18:35.334120Z,"I am very happy with the H700 Bluetooth headset. It is very comfortable when wearing it. Call are very clear when sending or receiving them. I really like the alert to a phone call coming in, especially when the radio is on. I highly recommend this product.",neutral,low,
2025-08-15T07:18:35.351980Z,This product came real fast and works well in my car. I use it to get the gps directions from my iPhone.,positive,low,
2025-08-15T07:18:35.360278Z,"Not a fast charger as advertised, but still gets the job done so far.",positive,low,
2025-08-15T07:18:35.368419Z,THE PRICE IS LOW AND THE PRODUCT WORKS WONDERFULLY. I PROBABLY WILL NOT HAVE TO BUY ANOTHER WATCH BATTERY FOR YEARS.,positive,low,precio
2025-08-15T07:18:35.376314Z,i bought this device due to the database capability where i could copy and paste into the notes field. but the software crashes often and i could not re import the backed up file. there is virtually no tech support and the knowledge base is non existance. the sync locked up and i could not get it back up until i disconnected the battery for a few days. i got it to sync back to the PC software database. i will have to look for an alternative.,neutral,low,
2025-08-15T07:18:35.385554Z,the back peace on the phone did not fit. phone does work good and is in good condition no problems with the phone as of yet.,positive,low,
2025-08-15T07:18:35.393904Z,Its ok. Very small and i lost mine. They are very small and cheap (price wise) so you should buy more then one.,neutral,low,precio
2025-08-15T07:18:35.400751Z,great looking case but already has frayed to the point of breaking on the belt loop only had it 2 weeks. I'm afraid it will breaking a moment now.,positive,low,
2025-08-15T07:18:35.408261Z,The product is just as shown. Just make sure that you don't need a micro-usb cable. This cable is a mini-usb cable. I made that mistake with my blackberry.,neutral,low,
2025-08-15T07:18:35.418529Z,This was fast and courteous service. I would recommend this to everyone. I could not find a case for my phone locally (mine had broke) This was very reasonable. Thank you so much!,positive,low,
2025-08-15T07:18:35.427163Z,"Bought this after a long search for an affordable compact world-traveler outlet conversion kit. Just sick of carrying a boat load of adapter plugs, I wanted to find an all in one, never to forget or leave behind, universal adapter combo plug. I have used it a lot and found that it converts well all across the globe. But I feel that I have to be very careful not to break parts off or to drop it. It feels like a typical ""Made In China"" bulky cheap plastic product, but the upside is that is it very light. If it fails, I will not buy this again, but keep looking for something with lasting quality.",neutral,low,calidad
2025-08-15T07:18:35.434331Z,"Of the blue tooth I have bought or tried, the voyager 510 is probably one of the best, it's light, fits great, you even forget it's on your hear. the sound quality is excellent... as long as you communicate with somebody using a blue tooth, unfortunately, if you call a land line, they often seem to have a hard time hearing you. I thought it was just mine, but I am having the same issue when my wife calles the land line and I have read multiple comments along the same line.",positive,low,calidad
2025-08-15T07:18:35.441512Z,"Just I wanna say this this is not a good phone but nice handheld. I am using this ipaq almost a year and last month t-mobile sent me new one because I was getting too many miss calls then tey sent me new h6315 but guess what, nothing is change still I am getting miss calls:( I think I am going to buy new ""cell phone"" .",positive,low,
2025-08-15T07:18:35.447981Z,"I bought this item. The first one arrived and did not work or charge. The second one, as a replacement worked for about one week. Then I picked up my otoscope to examine a patient and the handle was very hot to hold, I took the battery out and it was warped and doesn't work. I am not even going to bother to ask for a replacement. This brand is deficient in every respect, in my opinion.",neutral,low,
2025-08-15T07:18:35.453964Z,"I Only can charge my iPhone one time ADN spend couple of lhours for full charge , i will not buy it again",neutral,low,
2025-08-15T07:18:35.461898Z,"Good, easy to use worked fine with my old handset... I recently bought I-Phone... This is usless now.. This has bluetooth v 1.1, This dose not work with I-Phone !!",positive,low,
2025-08-15T07:18:35.472592Z,WAS NOT THE MODEL THAT I ORDERED ...COSTS TOO MUCH IN SHIPPING TO REPLACE-NOT HAPPY,neutral,low,envío
2025-08-15T07:18:35.479197Z,I SEND IT BACK,neutral,low,
2025-08-15T07:18:35.486396Z,"I have had my Jabra BT500 for three weeks and am already returning it to the company for a replacement. The speaker has stopped functioning. It went dead between two calls. It is still pairing with the phone, and the mic works, too, I just can't hear anything. The sound quality of the Jabra headset isn't as good as my wired headset, but for day to day use, it is far more convenient. Most people say they can hear me just fine, but at least two clients have mentioned that I sound like I am talking in a wind storm. Although the literature claims a range of 30 feet, it is more like 7 feet. The phone must,also, be kept on the some side of my body as the headset. I hope the new one works better.",positive,low,calidad
2025-08-15T07:18:35.492602Z,Really? 124.00? Wow.,neutral,low,
2025-08-15T07:18:35.515094Z,"THE CASE IS MUCH SHINIER THAN IN THE PIC PROVIDED. IF THE CASE IS HELD IN YELLOW LIGHT, THE CASE TAKES ON A BRASS COLOR. IF HELD IN WHITE LIGHT, IT TAKES ON A SILVER COLOR. THE PIC DEPICTS A DARK GREY CASE,(PROBABLY A DARKLY LIT PHOTO), BUT CASE IS BRIGHTER, SHINIER. ITS OK, THATS ALL.",neutral,low,
2025-08-15T07:18:35.523674Z,I have to adjust the position of the device many times as the sound is not clear for other,neutral,low,
2025-08-15T07:18:35.530213Z,"Overall I am pleased with this case but wish the clear plastic cover would fit flushly. There are a few ""bubbles"" which I sometimes find annoying.",neutral,low,
2025-08-15T07:18:35.536978Z,"It says it works as a universal holder, but I don't really see that. It seems like it is actually fit for an iPhone. Anything wider than an iPod does not fit and I have to squeeze my droid razr just to get it to be useful.",positive,low,
2025-08-15T07:18:35.544073Z,"Amazon has an imprenetratable system for processing rebates. They do not receive faxes or mails, send form letters saying they cannot find your submitted documentss, but advise that you wait for EIGHT WEEKS before worrying about the submision. Treo phone works fine, but the promise of a rebate cannot be believed. Buy if you want, just don't count on rebate",positive,low,
2025-08-15T07:18:35.551856Z,"Not useful for anything other than display. There was not a liner or chin strap and the construction was inferior compared to the four i purchased for our Passion week events last year. Very disappointed, but thought it would be the same and didn't even open the box until too late to return for exchange or refund.",negative,high,envío
2025-08-15T07:18:35.565560Z,I use this for my work Blackberry and then switch it to use with my personal phone at night. I enjoy the product very much.,neutral,low,
2025-08-15T07:18:35.572611Z,"The features on this phone are awesome and certainly this phone is easy to use. The speakerphone is also by far the best I have encountered. However, the clarity of calls is a slight issue. The volume control does not seem to do a whole lot for the clarity as people sound too loud or not loud enough, and even when not on speaker sometimes it feels like they are because of the way the phone sounds. Even when I have perfect reception and am in an area where I know others Sprint phones are working just fine. Have not decided yet whether or not to switch phones or just stick it out, but two years is a long time. I also do not know what other phone I would go with as there is not a consensus on one excellent phone all around. Hope this helps.",positive,low,
2025-08-15T07:18:35.580925Z,Very poor audio quality could barely hear the person on the other line. Was very disappointed but sent it back and received a very prompt refund and was pleased with that response.,negative,high,calidad
2025-08-15T07:18:35.595765Z,"Red the reviews and I was attracted to the noise suppression technology. Got the headset, and it has amazing sound and lives up to removing noise. However the buttons on this thing don't provide good tactile feedback and operating the thing is very difficult. Putting it on your ear is difficult. The proprietary power connector is a pain (what about a mini USB jack) as you need to get more (for use in the office) or carry it around with you. Once you get it working, it works fine; but somebody needs to revisit the industrial design and put some real buttons on this thing that you can tell when they have been punched, and a standard USB jack. Would also be nice to have a mute function (missing). While the technology and specs are good on the Jawbone, the industry design is pleasing but not useable; in-fact I would just conclude that the usability of the product was ignored. Wouldn't buy this product again.",positive,low,
2025-08-15T07:18:35.603913Z,Battery worked OK but didn't last as long as I expected. I don't know if it was a defective product or just poorly made.,negative,low,calidad
2025-08-15T07:18:35.611595Z,"I bought this armband case for my Droid Incredible by HTC smartphone. My phone fit and there was quite a bit of room on the sides. But my phone was still pretty snug in there since the fabric is stretchy, and it doesn't move around at all. The armband is easily adjustable with velcro. It fits around my bicep with plenty of extra room, but I am a small lady without much arm muscle. I find it a bit awkward to insert my phone into the case, it usually takes me a bit to get it in there, especially if I am putting anything else in it (like money or keys). There are two small holes at the top for speakers which work well. The frustrating part about this case is that you are not able to use the phone through the plastic (at least I wasn't on my Droid) and taking your phone in and out of the case on a run is near impossible. Also, sometimes when I put my phone into the case it hits buttons and the volume goes way up or it turns the music off altogether. But that might just be my phone. My boyfriend borrowed the armband the other day and used it with his iPhone. He was somewhat able to use his phone through the plastic cover which was nice. But he had to put the armband on his forearm because it was too tight higher up. But it still worked for him well. The fabric is really nice and breathable. It dries quickly. It's stretchy so it fits all sorts of phones or mp3 players. So I do like this product, but it does have its downsides.",positive,low,
2025-08-15T07:18:35.619051Z,Didn't have much volume .. Not very happy.,neutral,low,
2025-08-15T07:18:35.627503Z,"The reason I bought this phone from Amazon was for the $150 rebate. I waited a week to get my new phone and I do really like it except I find myself constantly having to clean my fingerprints and smudges off the screens. The problem is that I wanted to take my Sprint number with me. I looked up the information and to my complete dismay, Amazon, currently does not have a relationship with Cingular to deal with number portability. They have an agreement with every single other mobile phone company they sell plans and products for. So basically you are instructed to contact Cingular to cancel your order and re-order with them but by doing that you are becoming ineligible to receive Amazon rebates, ie the whole reason I bought the phone from Amazon. It is my right to be able to take my number with me and I feel ripped off that it will cost me $150 to do so.",neutral,low,precio
2025-08-15T07:18:35.634442Z,"I received this product in a very timely manner which was delightful, however, I gave it as a gift and was embarrassed to find out it was a defective item. I was reimbursed for the product but would have much rather had a product that worked the first time.",negative,low,calidad
2025-08-15T07:18:35.642122Z,"This BlueAnt bluetooth speakerphone has a lot of cool features that worked well. However, it didn't handle one of the most important basics ... pick-up and transmit my voice and voice commands adequately. I hassled with making several recommended changes and adjustments for about 3 months. Maybe I got a lemon, but after all my efforts & still my callers could not hear or understand me most of the time, I decided to give up. What a waste of time & money!",neutral,low,
2025-08-15T07:18:35.665297Z,"This is for smaller cell phone headphones. Not normal gaming or regular mini-jacks. The build quality is mediocre, and the length in the picture is not necessarily the length you will receive.",neutral,low,calidad
2025-08-15T07:18:35.673361Z,"It is not really unlocked. At least for my order. I brought this one to T-mobil, ATT and Sprint storys, the sales said this one is not unlocked at all. Can not find the seller and any contact information. Too bad, waste $40.<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Motorola-Motofone-F3-Unlocked-Cell-Phone-International-Version-with-No-Warranty-Black/dp/B0013A7KMW/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Motorola Motofone F3 Unlocked Cell Phone--International Version with No Warranty (Black)</a>",negative,low,precio
2025-08-15T07:18:35.680085Z,This is a great cheap solution for the annoying times when your phone battery keeps dying after 2 hours or less after fully charged. Received fairly quickly.,positive,low,
2025-08-15T07:18:35.687472Z,"I am sorry to say that I received (after about 1 month waiting) the wrong screen protector. My cell phone is 8310, but the one I received is for a 8800. Bad deal !",negative,low,
2025-08-15T07:18:35.693518Z,broke the second time of use.,neutral,low,
2025-08-15T07:18:35.700754Z,It totally charged my iPhone and iPod but lacked to charge my iPad. As long as it is in the sun it is charging but once no sunlight you are SOL!,neutral,low,
2025-08-15T07:18:35.707946Z,"This is a truly lovely wireless phone with excellent comfort, portability, range and noise cancellation. I've been using it for several months in a very noisy server room environment. Having gone through multiple supposedly ""noise canceling"" phones, this is the first one that really passed muster with customers. I had been using this on my standard phone line and integrated it with my laptop's Outlook directory. Simple, easy and excellent! Within 5 minutes I had 200 contacts loaded onto the phone. It's nice that you can manually edit the phone numbers and contact information before they're loaded onto the phone so you don't wind up with extraneous data. I just switched over to using VOIP instead of a phone line, and decided to use this with my Mac instead of Windows. Honestly, it's not so good. Unlike other phones that are specifically designed to be VOIP phones, you can't dial the phone through the handset anymore - you have to use the softphone. You can answer and disconnect calls, but that's all. The software for the Mac is not as mature as it is for the PC, either. The Calisto Pro utility for the Mac frequently loses connectivity to the Mac and doesn't show up in the utility bar that it's lost its connection. So, you'll be dialing away through the softphone only to hear your party answering - and you're not audible. It's not a very professional image to present if you're using this for work, as I do. So far, the software for Windows is more reliable. No matter which operating system - once you have a successful connection, sound quality is excellent. The earpiece is very comfortable and the device has wonderful range. I'd like to see Plantronics improve the quality, reliability and feature set of the VOIP offering for this device. Otherwise, it's a pretty expensive wireless USB headset - albeit one with excellent clarity and range.",positive,low,calidad
2025-08-15T07:18:35.715440Z,Got my phone today. nothing like the picture. and no logo either. it is gold tho and seems functional. also black on the inside not silver. which bugs me but if it works thats fine. could have done a lot better:(,positive,low,
2025-08-15T07:18:35.723019Z,Purchased for my husband for Christmas he has an iPhone 5. It isn't compatible with the iPhone 5 . I will be sending it back. I am so disappointed.,neutral,low,
2025-08-15T07:18:35.730755Z,"I don't know if it's just me, but every time I buy a blue-tooth it's only great for a couple of months. Read the reviews and was excited but slowly performance diminished.",negative,low,
2025-08-15T07:18:35.737155Z,"Not as well made as the old razrs battery life not very good.. I paid 79.00 for it, too high...should be around 50.00. I would not recommend this phone",positive,low,
2025-08-15T07:18:35.745799Z,"What an amazing product! I've had this unit for over a year with no problems. The size is perfect an the battery lasts a long time, just as advertised. Great for long plane rides and wilderness hiking.",positive,low,
2025-08-15T07:18:35.753021Z,"Overall, I've been extremely satisfied with Motorola's H7XX series. I actually purchased the H710 and about the time the warranty was to expired I used it. On Motorola's mistake, they sent me a H715 instead. I didn't immediately notice though but little things were different. The black shade was a little different and then I noticed ""tones"". Tones when I would connect, disconnect, etc. that I did not have with the H710. I like both colors and they both go good with my original iPhone. I think amazon has the best price on both of these... I would highly recommend them. I am currently testing the Plantronics Voyager Pro and notice that it doesn't like my blackberry. It works fine with my original iPhone but the voice quality isn't as great as it was with the H7XX series. I'm returning it and requesting a replacement to see if it was just that one headset. I'm really rooting for the PRO. I find the H7XX series are easier to carry in the pocket as it folds nicely. The PRO feels great and the smallest ear rubber piece works great for my ears. I've had the headset on for hours and using the smallest ear rubber has worked the best. But enough of the Pro. Thank you for your time. UPDATE 01/09/2012 These Motorola H7XX series seem to have about a 10-16 month lifespan. And still I love them. I have used the Motorola warranty right before the 1 year limit and have received either a refurbished or a brand new one which again last about another year or so. So with that I will drop my overall rating to a 4 STAR.",positive,low,precio|calidad
2025-08-15T07:18:35.767005Z,"I purchased this product because the cell phone reception in my house is horrible. Before I bought the product I climbed on the roof and verified that I had three bars and good call clarity. I fist tried mounting the antenna the peak of the roof line with the base unit in the basement. Didn't seems to work too well. My coax ran within 4"" and perpendicular to a 110V power line, so I repositioned the coax to emlimante this interference with no improvement, sometimes I would get a little better signal but not really a usable signal. So I went out and bought an antenna mount with a 10 foot mast and mounted the antenna at the peak of the roof, I placed the base station in the basement on the floor. This is as much vertical seperation as I can legally have as I am limited in antenna height, this is at least 25 feet of vertical seperation. I still cannot figure out the blinking lights on the base unit after reading the manual several times as they all blink in various patterns pretty much constantly. I don't think there is anything else I can do to improve the installation per the instructions. Now sometimes I get pretty good reception standing by the base unit (3 bars) and about 2 bars on my main floor but other times the system does not appear to be functioning at all. The system seems to be really flakey in the fact that it works sometimes okay but other time not really at all. I have to say I am dissapointed because I spent allot of time trying to get the system installed correctly with poor results and the unit was very expensive without good results, I pretty much feel like I wasted $300.",negative,low,precio
2025-08-15T07:18:35.774504Z,"All my text messages from Russia are blacked out. I'm trying to figure out how to get rid of the Portuguese, Dutch, French, etc. and get Russian.",neutral,low,
2025-08-15T07:18:35.782742Z,Jury's out.,neutral,low,
2025-08-15T07:18:35.791584Z,I bought this product on July 2nd 2008 and had it shipped overnight July 3rd 2008. Even though the amazon description doesn't say it clearly I'm happy to say that it is in fact the n95-4 with US 3G support. I had the n95-1 before this. The n95-4 is significantly faster.,positive,low,
2025-08-15T07:18:35.800163Z,"Did two complete installs and neither was successful. It knows a phone was plugged in but never connects. So, I bought a nice cable. Does not rate any stars.",positive,low,
2025-08-15T07:18:35.838231Z,"This product is good for the price but has its flaws. As far as reflective mirror like qualities go it gets 5 out of 5. It acts EXACTLY like a mirror, no wobble effect or haziness at all that I have noticed so far. It went on without any problem and VERY minor bubbles that were easily taken care of. However it does haze up your screen a bit even in dark areas, which I don't mind but the main draw back is that it gives your screen a colorful appearance much like that of a TV that has had a magnet get a little to close to it. I wouldn't say full on magnet to screen but a definite ""rainbow"" effect. It also does not seem to be the static kind of SP that is capable of being removed and reinstalled as stated in the product description. The product was in pretty good condition upon arrival but did have a few flaws that are noticeable with the naked eye. Also the shipping took a bit long, taking 10 days to arrive. All in all a good buy for the price.",positive,low,precio|envío
2025-08-15T07:18:35.844649Z,"The earpiece is a comfortable wear, but the clarity is lacking. It is a very difficult earpiece to hear with,",neutral,low,
2025-08-15T07:18:35.852020Z,I am loving my otterbox. I drop my phone a lot and have 2 small boys that like to take mommy's phone and so far not even a scratch. Totally worth every penny for the protection and peace of mind.,neutral,low,
2025-08-15T07:18:35.857931Z,Good job. But the signal decrease from 3 feets long,positive,low,
2025-08-15T07:18:35.865604Z,Outstanding Product. Also delivered prior to promise date.,neutral,low,
2025-08-15T07:18:35.873038Z,I purchased this item hoping it would help me with the lack of battery life on my new I phone. I did not see any improvement. It appeared to be draining my battery life instead of increasing it.,neutral,low,
2025-08-15T07:18:35.880412Z,"The first time I used it, the GPS fell out. I've heard that this is a problem. I now put a lanyard on the GPS as well. They certainly should have come up with a more secure design. It is well-built and the price is fair. That's why it got 3 stars. The handlebar mount used for my Garmin eTrex is much better. They should have used the same thing for this model.",neutral,low,precio
2025-08-15T07:18:35.888146Z,"Tracfone cellular service offers excellent price and good service. I have had good experiences with their customer service reps. I own most of the phones, and carry them in my pocket to many states, airports, municipal buildings, beaches, and rural areas with great success. On occasion, the service will go out but it comes back shortly. Before you activate your Tracfone, email me (I respond quickly) for 100 free units at: tracfone@gmail.com.",positive,low,precio
2025-08-15T07:18:35.896160Z,"I wanted some sort of a meter for the EMF frequencies. I bought this, and measured our 12 year old microwave. I had to be 6 to 7 feet away for there to be no movement of the needle. In other words, my old microwave was leaking badly. Rather than have it repaired, I bought a new one. On testing, the needle hardly moved within 6 INCHES of the machine. The new microwave emits LESS microwaves than the old one. The meter is serving its purpose for which I bought it. Hopefully, it can measure microwave towers (? cell phone towers) and cell phones.",negative,low,
2025-08-15T07:18:35.904318Z,It charges the phone but I wanted files from my cell phone to be transferred to computer. There's no instruction so I had to find it in online.,neutral,low,
2025-08-15T07:18:35.911181Z,"Screen is impossible to read in sunlight. Cannot see caller ID, missed messages etc. When keying in phone numbers that you are calling, numbers are large and legible but all else is horrible. Of course this is standard to all LCDs(read modern screens) verses older VGA(read much better resolution and contrast). I am about to relicense my older LG phone with VGA. Software menu's are much harder to use then older menu layout and software on previous LG's. The absolute worst defect(feature?) is when you receive a call, it is almost impossible to retrieve from your pocket without touching the call interruption button on the outside edge of the phone. This of course disconnects the call and with the crummy screen and you are outside, it is impossible to tell who was calling that you disconnected. This design flaw could be very easily corrected by several means that would take even a full blown idiot about 5 minutes to think up. Possibly requiring 2 rapidly hits to the disconnect button to cut off a call. There are other simple ideas to resolve this problem. This was a problem with my previous LG. You would think that these miscreants that design this stuff would use it in the real world before foisting there newest bright ideas on to the unsuspecting consumer. In other words to see what us chickens are eating out here. I do not like the way the square edge of the earpiece fits my ear. The more rounded oval type edges are far better for getting audio into the ear canal. As noted by others, the keyboard sucks. Would be nice if some commonly used keys were color coded so that in daylight when keys(they are flat and very reflective) are hard to see, they would be more user friendly. Do like the slimline of the phone and its high tech look. Only reason that I upgraded(?) phone was to gain bluetooth but am finding that my older phone was far more ergonomically user friendly. But of course these designers are engineers and most do not live in the real world anyway. I see this poor design in so many modern products.",negative,low,calidad
2025-08-15T07:18:35.918242Z,I love the item the only problem I had was it was the wrong size so had to return it. It was my mistake for not taking a better look at it before ordering. Other then that the seller was great with the refund and fast delivery!!!,negative,high,envío
2025-08-15T07:18:35.932815Z,"I bought and returned this. It was heavy and I could not wear it for a long time. The pairing process with my LG PM-325 was long and I had to call Jabra to get it completed. The caller ID is a great concept by not very functional since you can not look at it while you are wearing the head set. This is good for someone who does not talk for a long time and does not want to keep the headset on between calls. The ""Noise-Cancelling"" is not worth it. I ended up buying a Jabra FreeSpeak 250 and I am much happier. It is great to wear all day.",positive,low,
2025-08-15T07:18:35.939676Z,I'm not very happy with this phone it's not working out.,neutral,low,
2025-08-15T07:18:35.951252Z,"unfortunate, but item came thru defective; had low cost, and don't have time quite frankly to hassle around getting another",negative,low,calidad
2025-08-15T07:18:35.957866Z,"The X3 looked like a great little headset, and I loved the fact that it had 3 different charging methods included... Paired easily with my LG VX8300, looks nice, fits fairly well on the ear, but that is when the praise ends. Overall, there is a large amount of static during calls that I have not experienced with other headsets on my phone. There is also quite a ""delay lag"" when audio begins through the headset, which usually results in missing the initial part of calls/communications. Also, the range is less than ideal, I found it rather limited when I tested it and compared to other BT headsets on my phone. All of these are unfortunate, but not completely crippling, for the overall usability of the headset. I even tried contacting BlueAnt's technical support department, in case I had a bad unit, but only ever received an email confirming they got my original report of an issue... Then absolutely nothing. Being in the technical support field myself, I find lack of support competency to be a big strike against a company and its products.",negative,high,
2025-08-15T07:18:35.972132Z,This is my first blue tooth device and it has good features. I can play my podcasts stored on my phone through this to my stereo system. You can also listen to your phone caller through your stereo or the local speaker built-in (which sounds good for such a small device). I can say the built in rechargeable batteries (uses no AA or AAA batteries) last at least 4 hours of continuous use. I haven't used it beyond 4 hours straight. Instructions are easy to understand. Very happy with this Motorola item.,positive,low,
2025-08-15T07:18:35.992122Z,If you have a smartphone this is probably not for you. I have an iphone 5 and it's in a puregear rock climbing case. I used this while I horseback ride and it's almost pointless. I can barely fit my iphone into the sleeve and the velcro doesn't reach around. Not to mention if you pull it too tight the band collapses and becomes twisted on the litte black plastic piece. If you have a smartphone then buy a fancier case. If you have an older smaller phone this is perfect.,positive,low,
2025-08-15T07:18:36.000493Z,Wouldn't know anything about the cell phone I ordered because the person hasn't even shipped it yet. It's been a month! And amazon has does nothing to help and really has nothing for an option to provide assistance.,neutral,low,
2025-08-15T07:18:36.007705Z,This is a basic silicone cover/armband kit for the Zune. I really like the texture of the product and the cut out openings to reach the controls work well. Case is soft but appears durable and the included arm band and screen protector work fine. For the price it's hard to beat!,neutral,low,precio
2025-08-15T07:18:36.016468Z,very nice,positive,low,
2025-08-15T07:18:36.023989Z,"Though not made specifically for the MP3 player that I own, it nevertheless keeps it tightly within the case. Good product. I have had no problems with it at all.",positive,low,
2025-08-15T07:18:36.032050Z,"This was my first bluetooth headset purchase and after only 2 weeks I just made my second bluetooth headset purchase. I read lots of reviews on amazon and cnet and the Blue Ant Z9i is the only one that I came across with a 5 star rating. That was 2 weeks ago and I see it's now down to a 4 star rating. I have no complaints about the audio quality. I'm hearing impaired and wear hearing aids so I do need to take 1 of the hearing aids out to use the headset but I was still able to understand conversations crystal clear on the other end. I encountered some statis a few times but when I moved around a bit that seemed to disappear. I asked several people on the other end how my voice sounded and they all said it was fine. So no complaints about the audio. The fit however, is another story. Once the headset was in my ear for a few seconds with the ear hook on it was ok and I didn't really notice too much that it was in. But getting it into my ear wasn't a smooth process. Either I have very smell openings on my ears or the ear bud is on the large side. I did manage to get it in and for the most part it was comfortable enough that I wouldn't complain about it. But if I had to rate it on it's fit I would not give it 5 stars. the ear hook was an issue from day one. Because I wear hearing aids I switched back and forth each day between my left and right ears so that my hearing aid batteries drained evenly. The first time I switched the postion of the ear hook it came detached from the unit and although I was able to get it on well enough to stay on my ear, I knew it wasn't as secure as it could or should be. I was constantly checking to make sure it was still sitting on my ear properly. I think they could've done a much betterjob designing a sturdier ear hook. I'm also visually impaired and can't really see the display all that well so the only functions I used were turning the powere on + off, always checking to make sure the up volume button was as high as it goes, and pressing the MFB to use voice activation to dial calls. I can't comment on the other features such as call waitinig, muting, etc because I didn't use them. I just ordered a replacement bluetooth headset and went with the Motorola H700 this time. The ear hook seems to be better constructed and I think I'll like it better just touching my ear rather than jamming a too big earbud into my ear. My hearing aids that go into my ears are nowhere near as big as this headset. If the earhook and earbud aren't issues for you you'll like this headset just fine.",neutral,low,calidad
2025-08-15T07:18:36.039605Z,Awesome product.,neutral,low,
2025-08-15T07:18:36.046348Z,"Please... even if this is a million of a cent... don't get it. I can't believe how some one made it out to the market with such a poor quality, looks and in general, bad, ugly product. Don't put a nice piece like a Blackjack II into this!",negative,low,calidad
2025-08-15T07:18:36.054765Z,Was not able to transfer photos & ringtones off of old razor. Plastic case that I had does not fit. Ringtone is not loud enough & I can't get it to go any louder.,neutral,low,
2025-08-15T07:18:36.062623Z,I bought this product from niagra electronics for my tahoe it works great everything it said it does directions were simple and to the point the price was awsome and delivery also would recommend to friends and family,positive,low,precio|envío
2025-08-15T07:18:36.070696Z,"In general I found the volume marginal, expecially in high noise environments. Now the mic stopped working - it appears that a small blue wired gets pinched during the opening and closing of the device. Clearly a design flaw in the device",neutral,low,
2025-08-15T07:18:36.078392Z,"This clip is not compatable with Motorola XTS3000. The metal piece that hooks into the battery will fit, but it is too short so it slides the the top of the battery and will pop off if hit on anything.",neutral,low,
2025-08-15T07:18:36.085444Z,Fits my Android phone with rubber case on it. The clip could be better.,neutral,low,
2025-08-15T07:18:36.092714Z,"I received my BT350 today. Took it out of the package and immediately plugged it in to charge. The instruction book said to fully charge it before the first use. After plugging it in I took the book and began reading through. It said there would be a red light that would remain on as the unit was charging and it would change to green once a full charge was achieved. My unit had no such red light on. I unplugged it and replugged and the light flashed momentarily and stayed off. I went online and did a search, ""BT350 charging light"" and there it was. Many, many, many purchasers telling of the same problem. One had contacted the company and was told that the internal, rechargeable battery was bad and was not replaceable. One person said he was on his third replacement and still no luck. Several said their unit had worked for a short time and then mysteriously failed to charge. I am returning mine and will look for a different brand. Good luck to you!",negative,low,
2025-08-15T07:18:36.100964Z,love these bluetooth headphones for biking. nice to be able to answer the phone and listen to music. The magnetic feature is nice.,positive,low,
2025-08-15T07:18:36.108558Z,"I purchased this as I am an advid music listener and do a lot on the move. This does not have much volume and I am not sure why. I use a navigation system on my phone, and the instructions and phone commands are louda nd clear. When I use this for music, the max volume is only half as loud as voices when using the phone options??? Even wearing the ear buds, music is difficult to hear if there is any surrounding noise.",neutral,low,
2025-08-15T07:18:36.115668Z,"It works as expected. Takes a while to set. Best is to apply before going to sleep. By the time you wake up, it will be set.",positive,low,
2025-08-15T07:18:36.123545Z,"I have been using this holster almost every day for about one year. It is in like new condition and I have absolutely no complaints with it at all. I find getting the device in and out of the holster is easy. It stays on my belt without fail but it is easy enough to intentionally slide around on the belt, but won't move on its own. I often also rotate the angle relative to the clip when I am sitting and then straighten it when I am standing. I love this product. I recommend the product to eveyone who likes wearing their phone on their belt.",positive,low,
2025-08-15T07:18:36.146211Z,"This is my first attempt at BlueTooth with my V600. When there was a promo for [...] I jumped at it since its a >>PLANTRONICS<< -- ""The headset that went to the moon."" as in their adverisement.... Needless to say this is a POOR QUALITY HEADSET. 1. The connection drops in less then 3meter (~10ft) 2. No auto Reconnect 3. No option to activate the VOICE DAIL from headset 4. Most people tell me that they hear me good, but I hear them like a Thomas Edison's Tin Can. 5. Static, Static! Mostly due to the extremely short range of headset. Works only when phone is in my pocket.... otherwise quick rise in static and drops the connection. Once I get back close the connection is NOT reestablished. Will try to see how it work with my PC BlueTooth (Class 1) adapter maybe it is going to bo okay for Skype. This headset is no good if you venture more then 5 ft from phone. I will still try Plantronics but a higher ""value"" headset -- 340 is junk. --------------------------------------------------------------------------- FYI I tried it with my PC (Class-1 adapter).... Range is solid to about 10ft. Good to listen to MP3 from PC... nonetheless I get only static when I try to record my voice from the Headset even thought I am next to the BT adapter. With the Wireless Network set to OFF, slight improvement. For Listening to MP3 from PC: range 4 stars, quality 2 stars Microphone Headset: 1 star",negative,low,calidad
2025-08-15T07:18:36.153331Z,This headset has good sound quality - the best bluetooth I have owned. It generally makes up for the less than quality sound of my Blackberry phone - most people can hear me better than when talking directly on the phone. Rarely do I get any cutting out. I would buy it again. It also has a great price compared to most other well rated headsets.,positive,low,precio|calidad
2025-08-15T07:18:36.162521Z,"I am still using the first screen protector from my pack of three. I would have given it five stars, however, the left and right edges are not completely flat no matter how many times I try to smooth the air out. It does do a great job protecting the screen where it does fit.",positive,low,
